Store id,Cogs,Date,Market Size,Regional Performance,Marketing,Product Line,Product Type,Product,Profit,Sales,State,Target COGS,Target Profit,Target Sales,Other Expenses,Total Sales,Total Profit,ProftMargin,Marketing spend,Actual Variance,Cost of Goods Sold (COGS), ROI on Marketing,Product Category,COGS overview, Revenue (Sales)
603,49,01-10-2012,Small Market,East,15,Beans,Coffee,Amaretto,33,120,New Hampshire,30,60,90,38,#REF!,#REF!,28%,15,30,19,2.2,Low Profit,49,120
603,45,01-10-2012,Small Market,East,14,Beans,Coffee,Colombian,24,114,New Hampshire,30,50,90,45,#REF!,#REF!,21%,14,24,15,1.714285714,Low Profit,45,114
603,45,01-10-2012,Small Market,East,41,Beans,Espresso,Caffe Mocha,-7,109,New Hampshire,30,30,90,71,#REF!,#REF!,-6%,41,19,15,-0.170731707,Low Profit,45,109
318,60,01-10-2012,Small Market,South,54,Beans,Espresso,Caffe Latte,1,144,Louisiana,30,10,90,83,#REF!,#REF!,1%,54,54,30,0.018518519,Low Profit,60,144
775,34,01-10-2012,Small Market,West,12,Beans,Coffee,Colombian,-2,77,Nevada,40,30,100,45,#REF!,#REF!,-3%,12,-23,-6,-0.166666667,Low Profit,34,77
503,54,01-10-2012,Small Market,West,20,Beans,Espresso,Caffe Latte,12,120,Oregon,40,40,100,54,#REF!,#REF!,10%,20,20,14,0.6,Low Profit,54,120
573,45,01-10-2012,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-6,109,Missouri,20,30,80,70,#REF!,#REF!,-6%,41,29,25,-0.146341463,Low Profit,45,109
262,48,01-10-2012,Small Market,Central,13,Leaves,Herbal Tea,Lemon,45,118,Wisconsin,30,60,90,25,#REF!,#REF!,38%,13,28,18,3.461538462,Low Profit,48,118
801,49,01-10-2012,Small Market,West,15,Leaves,Herbal Tea,Chamomile,33,120,Utah,30,60,90,38,#REF!,#REF!,28%,15,30,19,2.2,Low Profit,49,120
425,48,01-10-2012,Small Market,West,13,Leaves,Herbal Tea,Lemon,47,119,Washington,30,60,90,24,#REF!,#REF!,39%,13,29,18,3.615384615,Low Profit,48,119
860,40,01-10-2012,Small Market,East,11,Leaves,Tea,Darjeeling,36,99,Connecticut,40,50,100,23,#REF!,#REF!,36%,11,-1,0,3.272727273,Low Profit,40,99
971,82,01-10-2012,Small Market,West,27,Leaves,Tea,Earl Grey,64,205,Oregon,30,50,90,59,#REF!,#REF!,31%,27,115,52,2.37037037,Low Profit,82,205
971,91,01-10-2012,Small Market,West,28,Leaves,Tea,Green Tea,76,218,Oregon,40,50,100,51,#REF!,#REF!,35%,28,118,51,2.714285714,Low Profit,91,218
915,40,01-11-2012,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,26,92,Texas,40,40,100,26,#REF!,#REF!,28%,13,-8,0,2,Low Profit,40,92
210,50,01-11-2012,Major Market,South,14,Beans,Espresso,Decaf Espresso,48,123,Texas,30,40,90,25,#REF!,#REF!,39%,14,33,20,3.428571429,Low Profit,50,123
970,40,01-11-2012,Major Market,Central,13,Beans,Coffee,Colombian,27,92,Colorado,30,40,90,25,#REF!,#REF!,29%,13,2,10,2.076923077,Low Profit,40,92
774,52,01-11-2012,Major Market,East,47,Beans,Espresso,Caffe Mocha,-8,120,Massachusetts,50,0,110,76,#REF!,#REF!,-7%,47,10,2,-0.170212766,Low Profit,52,120
954,75,01-11-2012,Major Market,East,23,Leaves,Herbal Tea,Mint,44,164,Florida,50,30,110,45,#REF!,#REF!,27%,23,54,25,1.913043478,Low Profit,75,164
936,46,01-11-2012,Major Market,South,14,Leaves,Herbal Tea,Lemon,31,114,Texas,40,30,100,37,#REF!,#REF!,27%,14,14,6,2.214285714,Low Profit,46,114
719,55,01-11-2012,Major Market,Central,20,Leaves,Tea,Darjeeling,15,124,Colorado,40,20,100,54,#REF!,#REF!,12%,20,24,15,0.75,Low Profit,55,124
847,50,01-11-2012,Major Market,Central,14,Leaves,Tea,Darjeeling,48,123,Illinois,40,40,100,25,#REF!,#REF!,39%,14,23,10,3.428571429,Low Profit,50,123
719,57,01-11-2012,Major Market,Central,17,Leaves,Tea,Earl Grey,29,125,Colorado,40,30,100,39,#REF!,#REF!,23%,17,25,17,1.705882353,Low Profit,57,125
339,36,01-11-2012,Major Market,East,10,Leaves,Tea,Darjeeling,31,88,Massachusetts,30,40,90,21,#REF!,#REF!,35%,10,-2,6,3.1,Low Profit,36,88
314,33,01-11-2012,Small Market,Central,9,Beans,Espresso,Decaf Espresso,27,81,Missouri,40,50,100,21,#REF!,#REF!,33%,9,-19,-7,3,Low Profit,33,81
504,31,01-11-2012,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,28,78,Louisiana,30,50,90,19,#REF!,#REF!,36%,8,-12,1,3.5,Low Profit,31,78
580,36,01-11-2012,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,30,88,Oklahoma,40,40,100,22,#REF!,#REF!,34%,10,-12,-4,3,Low Profit,36,88
225,49,01-11-2012,Small Market,South,15,Beans,Espresso,Decaf Espresso,34,120,Louisiana,30,30,90,37,#REF!,#REF!,28%,15,30,19,2.266666667,Low Profit,49,120
262,54,01-11-2012,Small Market,Central,20,Beans,Coffee,Amaretto,14,121,Wisconsin,50,20,110,53,#REF!,#REF!,12%,20,11,4,0.7,Low Profit,54,121
603,46,01-11-2012,Small Market,East,14,Beans,Coffee,Amaretto,30,113,New Hampshire,40,40,100,37,#REF!,#REF!,27%,14,13,6,2.142857143,Low Profit,46,113
603,43,01-11-2012,Small Market,East,14,Beans,Coffee,Colombian,20,109,New Hampshire,30,30,90,46,#REF!,#REF!,18%,14,19,13,1.428571429,Low Profit,43,109
603,44,01-11-2012,Small Market,East,40,Beans,Espresso,Caffe Mocha,-8,106,New Hampshire,40,10,100,70,#REF!,#REF!,-8%,40,6,4,-0.2,Low Profit,44,106
225,53,01-11-2012,Small Market,South,16,Beans,Espresso,Caffe Mocha,49,141,Louisiana,40,30,100,39,#REF!,#REF!,35%,16,41,13,3.0625,Low Profit,53,141
425,54,01-11-2012,Small Market,West,20,Beans,Espresso,Caffe Mocha,13,121,Washington,50,20,110,54,#REF!,#REF!,11%,20,11,4,0.65,Low Profit,54,121
918,54,01-11-2012,Small Market,South,20,Leaves,Herbal Tea,Chamomile,13,121,Oklahoma,50,20,110,54,#REF!,#REF!,11%,20,11,4,0.65,Low Profit,54,121
801,46,01-11-2012,Small Market,West,14,Leaves,Herbal Tea,Chamomile,30,113,Utah,40,30,100,37,#REF!,#REF!,27%,14,13,6,2.142857143,Low Profit,46,113
435,43,01-11-2012,Small Market,West,14,Leaves,Herbal Tea,Lemon,20,109,Utah,40,30,100,46,#REF!,#REF!,18%,14,9,3,1.428571429,Low Profit,43,109
509,47,01-11-2012,Small Market,West,13,Leaves,Herbal Tea,Lemon,44,115,Washington,40,40,100,24,#REF!,#REF!,38%,13,15,7,3.384615385,Low Profit,47,115
203,36,01-11-2012,Small Market,East,10,Leaves,Tea,Green Tea,33,90,Connecticut,30,40,90,21,#REF!,#REF!,37%,10,0,6,3.3,Low Profit,36,90
206,61,01-11-2012,Small Market,West,55,Leaves,Tea,Green Tea,1,147,Washington,40,0,100,85,#REF!,#REF!,1%,55,47,21,0.018181818,Low Profit,61,147
682,43,01-12-2012,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,30,99,Texas,50,40,110,26,#REF!,#REF!,30%,14,-11,-7,2.142857143,Low Profit,43,99
214,54,01-12-2012,Major Market,South,15,Beans,Espresso,Decaf Espresso,52,133,Texas,40,40,100,27,#REF!,#REF!,39%,15,33,14,3.466666667,Low Profit,54,133
970,47,01-12-2012,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-6,112,Colorado,40,0,100,71,#REF!,#REF!,-5%,42,12,7,-0.142857143,Low Profit,47,112
303,54,01-12-2012,Major Market,Central,17,Leaves,Herbal Tea,Mint,29,127,Colorado,50,30,110,44,#REF!,#REF!,23%,17,17,4,1.705882353,Low Profit,54,127
954,65,01-12-2012,Major Market,East,24,Leaves,Herbal Tea,Lemon,23,145,Florida,40,20,100,57,#REF!,#REF!,16%,24,45,25,0.958333333,Low Profit,65,145
561,80,01-12-2012,Major Market,East,24,Leaves,Herbal Tea,Mint,50,176,Florida,60,30,120,46,#REF!,#REF!,28%,24,56,20,2.083333333,Low Profit,80,176
469,54,01-12-2012,Major Market,South,17,Leaves,Herbal Tea,Chamomile,28,127,Texas,50,30,110,45,#REF!,#REF!,22%,17,17,4,1.647058824,Low Profit,54,127
214,41,01-12-2012,Major Market,South,13,Leaves,Herbal Tea,Lemon,24,101,Texas,30,30,90,36,#REF!,#REF!,24%,13,11,11,1.846153846,Low Profit,41,101
619,54,01-12-2012,Major Market,West,15,Leaves,Tea,Earl Grey,53,133,California,30,50,90,26,#REF!,#REF!,40%,15,43,24,3.533333333,Low Profit,54,133
314,31,01-12-2012,Small Market,Central,8,Beans,Espresso,Decaf Espresso,27,77,Missouri,30,50,90,19,#REF!,#REF!,35%,8,-13,1,3.375,Low Profit,31,77
225,34,01-12-2012,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,31,85,Louisiana,40,50,100,20,#REF!,#REF!,36%,9,-15,-6,3.444444444,Low Profit,34,85
580,33,01-12-2012,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,28,82,Oklahoma,30,50,90,21,#REF!,#REF!,34%,9,-8,3,3.111111111,Low Profit,33,82
603,48,01-12-2012,Small Market,East,15,Beans,Coffee,Colombian,28,122,New Hampshire,40,30,100,46,#REF!,#REF!,23%,15,22,8,1.866666667,Low Profit,48,122
985,55,01-12-2012,Small Market,South,49,Beans,Espresso,Caffe Latte,-3,131,Louisiana,40,0,100,79,#REF!,#REF!,-2%,49,31,15,-0.06122449,Low Profit,55,131
505,49,01-12-2012,Small Market,South,44,Beans,Espresso,Caffe Mocha,-5,118,New Mexico,30,10,90,74,#REF!,#REF!,-4%,44,28,19,-0.113636364,Low Profit,49,118
775,39,01-12-2012,Small Market,West,14,Beans,Coffee,Colombian,1,88,Nevada,40,20,100,48,#REF!,#REF!,1%,14,-12,-1,0.071428571,Low Profit,39,88
417,49,01-12-2012,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-5,118,Missouri,40,0,100,74,#REF!,#REF!,-4%,44,18,9,-0.113636364,Low Profit,49,118
920,41,01-12-2012,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,30,107,Wisconsin,30,30,90,36,#REF!,#REF!,28%,12,17,11,2.5,Low Profit,41,107
573,92,01-12-2012,Small Market,Central,28,Leaves,Herbal Tea,Lemon,16,160,Missouri,80,20,140,52,#REF!,#REF!,10%,28,20,12,0.571428571,Low Profit,92,160
475,68,01-12-2012,Small Market,East,25,Leaves,Herbal Tea,Lemon,27,153,Connecticut,50,20,110,58,#REF!,#REF!,18%,25,43,18,1.08,Low Profit,68,153
475,63,01-12-2012,Small Market,East,19,Leaves,Herbal Tea,Mint,36,139,Connecticut,40,40,100,40,#REF!,#REF!,26%,19,39,23,1.894736842,Low Profit,63,139
435,92,01-12-2012,Small Market,West,28,Leaves,Herbal Tea,Mint,17,160,Utah,80,20,140,51,#REF!,#REF!,11%,28,20,12,0.607142857,Low Profit,92,160
920,55,01-12-2012,Small Market,Central,49,Leaves,Tea,Earl Grey,-3,131,Wisconsin,40,0,100,79,#REF!,#REF!,-2%,49,31,15,-0.06122449,Low Profit,55,131
720,51,01-10-2013,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-7,130,Colorado,30,30,90,76,#REF!,#REF!,-5%,46,40,21,-0.152173913,Low Profit,51,130
970,52,01-10-2013,Major Market,Central,17,Leaves,Herbal Tea,Mint,39,131,Colorado,30,50,90,45,#REF!,#REF!,30%,17,41,22,2.294117647,Low Profit,52,131
430,43,01-10-2013,Major Market,South,13,Leaves,Herbal Tea,Lemon,42,114,Texas,30,50,90,36,#REF!,#REF!,37%,13,24,13,3.230769231,Low Profit,43,114
561,38,01-10-2013,Major Market,East,10,Leaves,Tea,Darjeeling,52,100,Florida,40,50,100,21,#REF!,#REF!,52%,10,0,-2,5.2,Low Profit,38,100
510,72,01-10-2013,Major Market,West,23,Leaves,Tea,Green Tea,83,194,California,20,50,80,54,#REF!,#REF!,43%,23,114,52,3.608695652,Low Profit,72,194
563,0,01-10-2013,Small Market,Central,0,Beans,Espresso,Decaf Espresso,46,46,Iowa,0,60,60,12,#REF!,#REF!,100%,0,-14,0,#DIV/0!,Low Profit,0,46
203,47,01-10-2013,Small Market,East,15,Beans,Espresso,Decaf Espresso,31,118,Connecticut,30,50,90,43,#REF!,#REF!,26%,15,28,17,2.066666667,Low Profit,47,118
405,27,01-10-2013,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,31,70,Oklahoma,30,60,90,18,#REF!,#REF!,44%,7,-20,-3,4.428571429,Low Profit,27,70
775,31,01-10-2013,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,10,72,Nevada,30,50,90,30,#REF!,#REF!,14%,9,-18,1,1.111111111,Low Profit,31,72
435,40,01-10-2013,Small Market,West,11,Beans,Espresso,Decaf Espresso,55,106,Utah,20,60,80,22,#REF!,#REF!,52%,11,26,20,5,Low Profit,40,106
603,49,01-10-2013,Small Market,East,15,Beans,Coffee,Amaretto,49,128,New Hampshire,30,60,90,38,#REF!,#REF!,38%,15,38,19,3.266666667,Low Profit,49,128
603,45,01-10-2013,Small Market,East,14,Beans,Coffee,Colombian,36,121,New Hampshire,30,50,90,45,#REF!,#REF!,30%,14,31,15,2.571428571,Low Profit,45,121
603,45,01-10-2013,Small Market,East,41,Beans,Espresso,Caffe Mocha,-10,116,New Hampshire,30,30,90,71,#REF!,#REF!,-9%,41,26,15,-0.243902439,Low Profit,45,116
504,60,01-10-2013,Small Market,South,54,Beans,Espresso,Caffe Latte,1,153,Louisiana,30,10,90,83,#REF!,#REF!,1%,54,63,30,0.018518519,Low Profit,60,153
702,34,01-10-2013,Small Market,West,12,Beans,Coffee,Colombian,-3,82,Nevada,40,30,100,45,#REF!,#REF!,-4%,12,-18,-6,-0.25,Low Profit,34,82
971,54,01-10-2013,Small Market,West,20,Beans,Espresso,Caffe Latte,18,128,Oregon,40,40,100,54,#REF!,#REF!,14%,20,28,14,0.9,Low Profit,54,128
573,45,01-10-2013,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-9,116,Missouri,20,30,80,70,#REF!,#REF!,-8%,41,36,25,-0.219512195,Low Profit,45,116
262,48,01-10-2013,Small Market,Central,13,Leaves,Herbal Tea,Lemon,67,126,Wisconsin,30,60,90,25,#REF!,#REF!,53%,13,36,18,5.153846154,Low Profit,48,126
801,49,01-10-2013,Small Market,West,15,Leaves,Herbal Tea,Chamomile,49,128,Utah,30,60,90,38,#REF!,#REF!,38%,15,38,19,3.266666667,Low Profit,49,128
509,48,01-10-2013,Small Market,West,13,Leaves,Herbal Tea,Lemon,70,127,Washington,30,60,90,24,#REF!,#REF!,55%,13,37,18,5.384615385,Low Profit,48,127
475,40,01-10-2013,Small Market,East,11,Leaves,Tea,Darjeeling,53,106,Connecticut,40,50,100,23,#REF!,#REF!,50%,11,6,0,4.818181818,Low Profit,40,106
503,82,01-10-2013,Small Market,West,27,Leaves,Tea,Earl Grey,95,218,Oregon,30,50,90,59,#REF!,#REF!,44%,27,128,52,3.518518519,Low Profit,82,218
541,91,01-10-2013,Small Market,West,28,Leaves,Tea,Green Tea,113,232,Oregon,40,50,100,51,#REF!,#REF!,49%,28,132,51,4.035714286,High Profit,91,232
936,40,01-11-2013,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,39,98,Texas,40,40,100,26,#REF!,#REF!,40%,13,-2,0,3,Low Profit,40,98
254,50,01-11-2013,Major Market,South,14,Beans,Espresso,Decaf Espresso,71,131,Texas,30,40,90,25,#REF!,#REF!,54%,14,41,20,5.071428571,Low Profit,50,131
719,40,01-11-2013,Major Market,Central,13,Beans,Coffee,Colombian,40,98,Colorado,30,40,90,25,#REF!,#REF!,41%,13,8,10,3.076923077,Low Profit,40,98
339,52,01-11-2013,Major Market,East,47,Beans,Espresso,Caffe Mocha,-12,128,Massachusetts,50,0,110,76,#REF!,#REF!,-9%,47,18,2,-0.255319149,Low Profit,52,128
561,75,01-11-2013,Major Market,East,23,Leaves,Herbal Tea,Mint,65,175,Florida,50,30,110,45,#REF!,#REF!,37%,23,65,25,2.826086957,Low Profit,75,175
806,46,01-11-2013,Major Market,South,14,Leaves,Herbal Tea,Lemon,46,121,Texas,40,30,100,37,#REF!,#REF!,38%,14,21,6,3.285714286,Low Profit,46,121
719,55,01-11-2013,Major Market,Central,20,Leaves,Tea,Darjeeling,22,132,Colorado,40,20,100,54,#REF!,#REF!,17%,20,32,15,1.1,Low Profit,55,132
708,50,01-11-2013,Major Market,Central,14,Leaves,Tea,Darjeeling,71,131,Illinois,40,40,100,25,#REF!,#REF!,54%,14,31,10,5.071428571,Low Profit,50,131
719,57,01-11-2013,Major Market,Central,17,Leaves,Tea,Earl Grey,43,133,Colorado,40,30,100,39,#REF!,#REF!,32%,17,33,17,2.529411765,Low Profit,57,133
351,36,01-11-2013,Major Market,East,10,Leaves,Tea,Darjeeling,46,94,Massachusetts,30,40,90,21,#REF!,#REF!,49%,10,4,6,4.6,Low Profit,36,94
636,33,01-11-2013,Small Market,Central,9,Beans,Espresso,Decaf Espresso,40,86,Missouri,40,50,100,21,#REF!,#REF!,47%,9,-14,-7,4.444444444,Low Profit,33,86
504,31,01-11-2013,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,42,83,Louisiana,30,50,90,19,#REF!,#REF!,51%,8,-7,1,5.25,Low Profit,31,83
580,36,01-11-2013,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,45,94,Oklahoma,40,40,100,22,#REF!,#REF!,48%,10,-6,-4,4.5,Low Profit,36,94
337,49,01-11-2013,Small Market,South,15,Beans,Espresso,Decaf Espresso,50,128,Louisiana,30,30,90,37,#REF!,#REF!,39%,15,38,19,3.333333333,Low Profit,49,128
262,54,01-11-2013,Small Market,Central,20,Beans,Coffee,Amaretto,21,129,Wisconsin,50,20,110,53,#REF!,#REF!,16%,20,19,4,1.05,Low Profit,54,129
603,46,01-11-2013,Small Market,East,14,Beans,Coffee,Amaretto,45,120,New Hampshire,40,40,100,37,#REF!,#REF!,38%,14,20,6,3.214285714,Low Profit,46,120
603,43,01-11-2013,Small Market,East,14,Beans,Coffee,Colombian,30,116,New Hampshire,30,30,90,46,#REF!,#REF!,26%,14,26,13,2.142857143,Low Profit,43,116
603,44,01-11-2013,Small Market,East,40,Beans,Espresso,Caffe Mocha,-12,113,New Hampshire,40,10,100,70,#REF!,#REF!,-11%,40,13,4,-0.3,Low Profit,44,113
318,53,01-11-2013,Small Market,South,16,Beans,Espresso,Caffe Mocha,73,150,Louisiana,40,30,100,39,#REF!,#REF!,49%,16,50,13,4.5625,Low Profit,53,150
206,54,01-11-2013,Small Market,West,20,Beans,Espresso,Caffe Mocha,19,129,Washington,50,20,110,54,#REF!,#REF!,15%,20,19,4,0.95,Low Profit,54,129
580,54,01-11-2013,Small Market,South,20,Leaves,Herbal Tea,Chamomile,19,129,Oklahoma,50,20,110,54,#REF!,#REF!,15%,20,19,4,0.95,Low Profit,54,129
435,46,01-11-2013,Small Market,West,14,Leaves,Herbal Tea,Chamomile,45,120,Utah,40,30,100,37,#REF!,#REF!,38%,14,20,6,3.214285714,Low Profit,46,120
435,43,01-11-2013,Small Market,West,14,Leaves,Herbal Tea,Lemon,30,116,Utah,40,30,100,46,#REF!,#REF!,26%,14,16,3,2.142857143,Low Profit,43,116
253,47,01-11-2013,Small Market,West,13,Leaves,Herbal Tea,Lemon,65,123,Washington,40,40,100,24,#REF!,#REF!,53%,13,23,7,5,Low Profit,47,123
203,36,01-11-2013,Small Market,East,10,Leaves,Tea,Green Tea,49,96,Connecticut,30,40,90,21,#REF!,#REF!,51%,10,6,6,4.9,Low Profit,36,96
509,61,01-11-2013,Small Market,West,55,Leaves,Tea,Green Tea,1,157,Washington,40,0,100,85,#REF!,#REF!,1%,55,57,21,0.018181818,Low Profit,61,157
956,43,01-12-2013,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,45,106,Texas,50,40,110,26,#REF!,#REF!,42%,14,-4,-7,3.214285714,Low Profit,43,106
430,54,01-12-2013,Major Market,South,15,Beans,Espresso,Decaf Espresso,77,142,Texas,40,40,100,27,#REF!,#REF!,54%,15,42,14,5.133333333,Low Profit,54,142
719,47,01-12-2013,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-9,119,Colorado,40,0,100,71,#REF!,#REF!,-8%,42,19,7,-0.214285714,Low Profit,47,119
970,54,01-12-2013,Major Market,Central,17,Leaves,Herbal Tea,Mint,43,135,Colorado,50,30,110,44,#REF!,#REF!,32%,17,25,4,2.529411765,Low Profit,54,135
305,65,01-12-2013,Major Market,East,24,Leaves,Herbal Tea,Lemon,34,155,Florida,40,20,100,57,#REF!,#REF!,22%,24,55,25,1.416666667,Low Profit,65,155
407,80,01-12-2013,Major Market,East,24,Leaves,Herbal Tea,Mint,74,188,Florida,60,30,120,46,#REF!,#REF!,39%,24,68,20,3.083333333,Low Profit,80,188
325,54,01-12-2013,Major Market,South,17,Leaves,Herbal Tea,Chamomile,42,135,Texas,50,30,110,45,#REF!,#REF!,31%,17,25,4,2.470588235,Low Profit,54,135
430,41,01-12-2013,Major Market,South,13,Leaves,Herbal Tea,Lemon,36,108,Texas,30,30,90,36,#REF!,#REF!,33%,13,18,11,2.769230769,Low Profit,41,108
408,54,01-12-2013,Major Market,West,15,Leaves,Tea,Earl Grey,79,142,California,30,50,90,26,#REF!,#REF!,56%,15,52,24,5.266666667,Low Profit,54,142
816,31,01-12-2013,Small Market,Central,8,Beans,Espresso,Decaf Espresso,40,82,Missouri,30,50,90,19,#REF!,#REF!,49%,8,-8,1,5,Low Profit,31,82
337,34,01-12-2013,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,46,91,Louisiana,40,50,100,20,#REF!,#REF!,51%,9,-9,-6,5.111111111,Low Profit,34,91
918,33,01-12-2013,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,42,87,Oklahoma,30,50,90,21,#REF!,#REF!,48%,9,-3,3,4.666666667,Low Profit,33,87
603,48,01-12-2013,Small Market,East,15,Beans,Coffee,Colombian,42,130,New Hampshire,40,30,100,46,#REF!,#REF!,32%,15,30,8,2.8,Low Profit,48,130
225,55,01-12-2013,Small Market,South,49,Beans,Espresso,Caffe Latte,-4,140,Louisiana,40,0,100,79,#REF!,#REF!,-3%,49,40,15,-0.081632653,Low Profit,55,140
505,49,01-12-2013,Small Market,South,44,Beans,Espresso,Caffe Mocha,-7,126,New Mexico,30,10,90,74,#REF!,#REF!,-6%,44,36,19,-0.159090909,Low Profit,49,126
702,39,01-12-2013,Small Market,West,14,Beans,Coffee,Colombian,1,94,Nevada,40,20,100,48,#REF!,#REF!,1%,14,-6,-1,0.071428571,Low Profit,39,94
314,49,01-12-2013,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-7,126,Missouri,40,0,100,74,#REF!,#REF!,-6%,44,26,9,-0.159090909,Low Profit,49,126
920,41,01-12-2013,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,45,114,Wisconsin,30,30,90,36,#REF!,#REF!,39%,12,24,11,3.75,Low Profit,41,114
417,92,01-12-2013,Small Market,Central,28,Leaves,Herbal Tea,Lemon,24,171,Missouri,80,20,140,52,#REF!,#REF!,14%,28,31,12,0.857142857,Low Profit,92,171
860,68,01-12-2013,Small Market,East,25,Leaves,Herbal Tea,Lemon,40,163,Connecticut,50,20,110,58,#REF!,#REF!,25%,25,53,18,1.6,Low Profit,68,163
203,63,01-12-2013,Small Market,East,19,Leaves,Herbal Tea,Mint,53,148,Connecticut,40,40,100,40,#REF!,#REF!,36%,19,48,23,2.789473684,Low Profit,63,148
435,92,01-12-2013,Small Market,West,28,Leaves,Herbal Tea,Mint,25,171,Utah,80,20,140,51,#REF!,#REF!,15%,28,31,12,0.892857143,Low Profit,92,171
262,55,01-12-2013,Small Market,Central,49,Leaves,Tea,Earl Grey,-4,140,Wisconsin,40,0,100,79,#REF!,#REF!,-3%,49,40,15,-0.081632653,Low Profit,55,140
719,39,01-10-2012,Major Market,Central,12,Beans,Coffee,Colombian,27,90,Colorado,30,50,80,24,#REF!,#REF!,30%,12,10,9,2.25,Low Profit,39,90
305,80,01-10-2012,Major Market,East,24,Leaves,Herbal Tea,Mint,48,174,Florida,40,40,90,46,#REF!,#REF!,28%,24,84,40,2,Low Profit,80,174
303,54,01-10-2012,Major Market,Central,20,Leaves,Tea,Darjeeling,13,120,Colorado,30,30,80,53,#REF!,#REF!,11%,20,40,24,0.65,Low Profit,54,120
303,54,01-10-2012,Major Market,Central,16,Leaves,Tea,Earl Grey,27,118,Colorado,30,40,80,37,#REF!,#REF!,23%,16,38,24,1.6875,Low Profit,54,118
508,27,01-10-2012,Major Market,East,7,Leaves,Tea,Darjeeling,20,66,Massachusetts,20,50,70,19,#REF!,#REF!,30%,7,-4,7,2.857142857,Low Profit,27,66
209,76,01-10-2012,Major Market,West,21,Leaves,Tea,Earl Grey,79,187,California,30,50,80,32,#REF!,#REF!,42%,21,107,46,3.761904762,Low Profit,76,187
715,22,01-10-2012,Small Market,Central,7,Beans,Espresso,Decaf Espresso,10,51,Wisconsin,20,50,70,19,#REF!,#REF!,20%,7,-19,2,1.428571429,Low Profit,22,51
319,23,01-10-2012,Small Market,Central,6,Beans,Espresso,Caffe Mocha,18,58,Iowa,20,50,70,17,#REF!,#REF!,31%,6,-12,3,3,Low Profit,23,58
